respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,congenial,response_probe,question,condition,correct
126,1.0,0.0,0.0,,1.0,0.0,closed,0.0,0.0,dt,mc,0
128,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
128,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
128,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
128,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
129,0.0,0.0,1.0,,,,closed,,,aca,mc,0
129,0.0,0.0,1.0,,,,closed,,0.0,aca2,mc,0
129,0.0,0.0,1.0,,,,closed,,,gg,mc,0
129,0.0,0.0,1.0,,,,closed,,1.0,dt,mc,1
130,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
130,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
130,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
130,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
131,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
131,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,0.0,aca2,mc,0
131,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,0
131,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,1.0,dt,mc,1
132,1.0,0.0,0.0,,1.0,0.0,open,1.0,,aca,mc,1
132,1.0,0.0,0.0,,1.0,0.0,open,1.0,0.0,aca2,mc,0
132,1.0,0.0,0.0,,1.0,0.0,open,1.0,,gg,mc,1
132,1.0,0.0,0.0,,1.0,0.0,open,0.0,1.0,dt,mc,1
138,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
138,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
138,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
138,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
141,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,aca,mc,1
141,1.0,0.0,0.0,,1.0,0.0,closed,1.0,1.0,aca2,mc,1
141,1.0,0.0,0.0,,1.0,0.0,closed,1.0,,gg,mc,0
141,1.0,0.0,0.0,,1.0,0.0,closed,0.0,0.0,dt,mc,0
143,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,aca,mc,0
143,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,1.0,aca2,mc,1
143,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,gg,mc,0
143,1.0,0.0,0.0,1.0,1.0,0.0,open,0.0,1.0,dt,mc,1
144,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,1
144,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
144,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
144,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
146,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
146,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
146,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,0
146,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
151,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
