respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,questions,responses,congenial,response_probe
173,0,1,0,0,0,1,closed,gg_correct,1,0,NA
173,0,1,0,0,0,1,closed,dt_correct,0,1,0
174,NA,NA,NA,NA,0,1,open,aca_correct,0,0,NA
174,NA,NA,NA,NA,0,1,open,aca2_correct,0,0,0
174,NA,NA,NA,NA,0,1,open,gg_correct,0,0,NA
174,NA,NA,NA,NA,0,1,open,dt_correct,1,1,1
176,1,0,0,1,1,0,closed,aca_correct,1,1,NA
176,1,0,0,1,1,0,closed,aca2_correct,0,1,0
176,1,0,0,1,1,0,closed,gg_correct,1,1,NA
176,1,0,0,1,1,0,closed,dt_correct,1,0,1
178,1,0,0,1,1,0,open,aca_correct,0,1,NA
178,1,0,0,1,1,0,open,aca2_correct,1,1,1
178,1,0,0,1,1,0,open,gg_correct,0,1,NA
178,1,0,0,1,1,0,open,dt_correct,1,0,1
179,1,0,0,1,1,0,open,aca_correct,1,1,NA
179,1,0,0,1,1,0,open,aca2_correct,1,1,1
179,1,0,0,1,1,0,open,gg_correct,1,1,NA
179,1,0,0,1,1,0,open,dt_correct,1,0,1
181,NA,NA,NA,NA,0,1,closed,aca_correct,0,0,NA
181,NA,NA,NA,NA,0,1,closed,aca2_correct,0,0,0
181,NA,NA,NA,NA,0,1,closed,gg_correct,0,0,NA
181,NA,NA,NA,NA,0,1,closed,dt_correct,1,1,1
183,1,0,0,1,1,0,open,aca_correct,1,1,NA
183,1,0,0,1,1,0,open,aca2_correct,0,1,0
183,1,0,0,1,1,0,open,gg_correct,0,1,NA
183,1,0,0,1,1,0,open,dt_correct,1,0,1
186,1,0,0,1,1,0,closed,aca_correct,0,1,NA
186,1,0,0,1,1,0,closed,aca2_correct,0,1,0
186,1,0,0,1,1,0,closed,gg_correct,0,1,NA
186,1,0,0,1,1,0,closed,dt_correct,1,0,1
193,1,0,0,1,1,0,open,aca_correct,0,1,NA
193,1,0,0,1,1,0,open,aca2_correct,0,1,0
193,1,0,0,1,1,0,open,gg_correct,1,1,NA
193,1,0,0,1,1,0,open,dt_correct,1,0,1
196,1,0,0,NA,1,0,closed,aca_correct,0,1,NA
196,1,0,0,NA,1,0,closed,aca2_correct,0,1,0
196,1,0,0,NA,1,0,closed,gg_correct,0,1,NA
196,1,0,0,NA,1,0,closed,dt_correct,1,0,1
197,0,1,0,0,0,1,open,aca_correct,0,0,NA
197,0,1,0,0,0,1,open,aca2_correct,0,0,0
197,0,1,0,0,0,1,open,gg_correct,1,0,NA
197,0,1,0,0,0,1,open,dt_correct,1,1,1
199,0,0,1,NA,NA,NA,open,aca_correct,0,NA,NA
199,0,0,1,NA,NA,NA,open,aca2_correct,0,NA,0
